Uid,FrameId,FrameType,PacketIndex,TotalPackets,TxApp,TxMac,TxPhy,RxPhy,RxApp,LatencyApp,LatencyPhy,Tid,Ac,IsAmpdu,AmpduRef
5604,0,0,0,0,0,0,10.2383,10.2383,0,0,28,0,0,0,0
5600,0,0,0,0,0,0,10.2365,10.2366,0,0,28,0,0,0,0
5596,0,0,0,0,0,0,10.2363,10.2363,0,0,28,0,0,0,0
5592,0,0,0,0,0,0,10.2234,10.2234,0,0,28,0,0,0,0
5588,0,0,0,0,0,0,10.214,10.2141,0,0,72,0,0,0,0
5585,0,0,0,0,0,0,10.2139,10.214,0,0,32,0,0,0,0
5582,0,0,0,0,0,0,10.1996,10.1996,0,0,28,0,0,0,0
5578,0,0,0,0,0,0,10.1798,10.1799,0,0,72,0,0,0,0
5575,0,0,0,0,0,0,10.1798,10.1798,0,0,32,0,0,0,0
5572,0,0,0,0,0,0,10.1604,10.1605,0,0,28,0,0,0,0
5568,0,0,0,0,0,0,10.1478,10.1478,0,0,28,0,0,0,0
5564,0,0,0,0,0,0,10.1457,10.1457,0,0,28,0,0,0,0
5560,0,0,0,0,0,0,10.1454,10.1455,0,0,72,0,0,0,0
5557,0,0,0,0,0,0,10.1454,10.1454,0,0,32,0,0,0,0
5553,0,0,0,0,0,0,10.1435,10.1438,0,0,332,0,0,0,0
5550,0,0,0,0,0,0,10.1259,10.126,0,0,72,0,0,0,0
5547,0,0,0,0,0,0,10.1259,10.1259,0,0,32,0,0,0,0
5544,0,0,0,0,0,0,10.1043,10.1043,0,0,28,0,0,0,0
5540,0,0,0,0,0,0,10.0999,10.0999,0,0,28,0,0,0,0
5536,0,0,0,0,0,0,10.0992,10.0993,0,0,28,0,0,0,0
5532,0,0,0,0,0,0,10.093,10.0931,0,0,28,0,0,0,0
5528,0,0,0,0,0,0,10.0825,10.0826,0,0,72,0,0,0,0
5525,0,0,0,0,0,0,10.0825,10.0825,0,0,32,0,0,0,0
5522,0,0,0,0,0,0,10.0522,10.0523,0,0,28,0,0,0,0
5518,0,0,0,0,0,0,10.0519,10.052,0,0,72,0,0,0,0
5515,0,0,0,0,0,0,10.0519,10.0519,0,0,32,0,0,0,0
5512,0,0,0,0,0,0,10.0411,10.0414,0,0,332,0,0,0,0
5509,0,0,0,0,0,0,10.0185,10.0186,0,0,72,0,0,0,0
5503,0,0,0,0,0,0,10.0185,10.0185,0,0,32,0,0,0,0
5504,0,0,0,0,0,0,10.0143,10.0143,0,0,28,0,0,0,0
5501,0,0,0,0,0,0,10.4788,10.479,0,0,112,0,0,0,0
5498,0,0,0,0,0,0,10.0067,10.0067,0,0,28,0,0,0,0
5494,0,0,0,0,0,0,10.0061,10.0061,0,0,28,0,0,0,0
5490,0,0,0,0,0,0,9.99208,9.99211,0,0,28,0,0,0,0
5487,0,0,0,0,0,0,9.99001,9.99008,0,0,72,0,0,0,0
5484,0,0,0,0,0,0,9.98996,9.98999,0,0,32,0,0,0,0
5483,211,2,4,5,9.97304,0,0,0,0,-9973,0,0,0,0,0
5482,211,2,3,5,9.97303,0,0,0,0,-9973,0,0,0,0,0
5481,211,2,2,5,9.97302,0,0,0,0,-9973,0,0,0,0,0
5480,211,2,1,5,9.97301,0,10.47,0,0,-9973,-10469953,0,0,0,0
5479,211,2,0,5,9.973,0,10.4458,10.4459,0,-9973,96,0,0,0,366
5476,0,0,0,0,0,0,9.95641,9.95648,0,0,72,0,0,0,0
5473,0,0,0,0,0,0,9.95636,9.9564,0,0,32,0,0,0,0
5472,210,1,29,30,9.94029,0,0,0,0,-9940,0,0,0,0,0
5471,210,1,28,30,9.94028,0,0,0,0,-9940,0,0,0,0,0
5470,210,1,27,30,9.94027,0,0,0,0,-9940,0,0,0,0,0
5469,210,1,26,30,9.94026,0,0,0,0,-9940,0,0,0,0,0
5468,210,1,25,30,9.94025,0,0,0,0,-9940,0,0,0,0,0
